Kategori / Indikator,Sub Indikator,Satuan,2020,2021,2022,2023,2024
Jumlah Ketersediaan Alat Mesin Pertanian,Kabupaten Tulungagung,Unit,79078.0,69451.0,12509.4,63394.0,54563.0
Jumlah Ketersediaan Obat Anti Hama,Insektisida Cair,L,2844.0,1325.0,0.0,0.0,0.0
Jumlah Ketersediaan Obat Anti Hama,Fungisida Cair,L,9469.0,7464.32,1085.0,550.0,0.0
Jumlah Ketersediaan Obat Anti Hama,Pestisida Cair,L,9469.0,7464.32,0.0,0.0,0.0
Jumlah Ketersediaan Obat Anti Hama,Insektisida Padat,Kg,9469.0,7464.32,1755.0,650.0,1400.0
Jumlah Ketersediaan Obat Anti Hama,Fungisida Padat,Kg,2577.0,850.0,0.0,0.0,0.0
Jumlah Ketersediaan Obat Anti Hama,Pestisida Padat,Kg,9469.0,7464.32,2119.0,579.0,0.0
Luas Lahan Sawah Beririgasi,Kabupaten Tulungagung,Ha,24977.0,23443.97,24915.0,24915.0,24706.0
Luas Lahan Sawah Tadah Hujan,Kabupaten Tulungagung,Ha,2639.0,2360.0,2302.0,2302.0,2243.0
Luas Lahan Tegal/Kebun,Kabupaten Tulungagung,Ha,36746.0,28031.51,29515.0,29515.0,30531.0
Luas Lahan Ladang/Huma,Kabupaten Tulungagung,Ha,222.0,2033.99,212.0,212.0,6772.0
Jumlah Produksi Padi,,,9469.0,7464.32,12509.4,3765.0,5085.0
Jumlah Produksi Jagung,Kabupaten Tulungagung,Ton,339969.54,388810.36,340773.49,341826.84,314626.26
Jumlah Produksi Kedelai,Kabupaten Tulungagung,Ton,120.45,102.68,19.49,705.37,121.49
Jumlah Produksi Ubi Jalar,Kabupaten Tulungagung,Ton,462.61,7464.32,689.84,447.1,0.0
Nilai Produksi Padi,Kabupaten Tulungagung,Rp,1426685690832.0,1729932360142.0,1698405126570.0,3765.0,1780805121400.0
Nilai Produksi Ubi Jalar,Kabupaten Tulungagung,Rp,1269401840.0,3109353793.0,1873605440.0,3765.0,0.0
Nilai Produksi Jagung,Kabupaten Tulungagung,Rp,1347979234030.0,1886119056360.0,1596523800650.0,3765.0,1691506573.22
Jumlah Produksi Sayuran,Bawang Merah,Kw,3090.0,38201.0,18165.0,3765.0,20054.1
Jumlah Produksi Sayuran,Bawang Putih,Kw,0.0,0.0,12509.4,0.0,0.0
Jumlah Produksi Sayuran,Bawang Daun,Kw,522.0,3193.8,2748.0,2596.0,2103.0
Jumlah Produksi Sayuran,Kentang,Kw,42.0,0.0,12509.4,0.0,180.0
Jumlah Produksi Sayuran,Kobis,Kw,3666.0,20068.0,36763.0,32010.0,51765.0
Jumlah Produksi Sayuran,Kembang Kol,Kw,225.0,0.0,12509.4,0.0,0.0
Jumlah Produksi Sayuran,Petsay/ Sawi,Kw,15136.0,22878.0,22049.0,20122.0,24050.0
Jumlah Produksi Sayuran,Wortel,Kw,131.0,4534.0,1635.0,1173.0,3090.0
Jumlah Produksi Sayuran,Lobak,Kw,0.0,0.0,12509.4,0.0,0.0
Jumlah Produksi Sayuran,Kacang Merah,Kw,0.0,0.0,12509.4,0.0,0.0
Jumlah Produksi Sayuran,Kacang Panjang,Kw,2702.0,4534.0,176.2,3765.0,149.0
Jumlah Produksi Sayuran,Cabe Besar,Kw,3516.0,4208.5,5103.5,4547.0,6410.5
Jumlah Produksi Sayuran,Cabe Rawit,Kw,9482.0,17066.8,11915.1,15899.0,12724.0
Jumlah Produksi Sayuran,Tomat,Kw,2766.0,4357.0,3166.5,2304.0,5828.5
Jumlah Produksi Sayuran,Terong,Kw,3297.0,1770.0,2524.3,3765.0,1324.0
Jumlah Produksi Sayuran,Buncis,Kw,331.0,23.0,12509.4,0.0,0.0
Jumlah Produksi Sayuran,Mentimun,Kw,1127.0,216.0,2980.1,1073.0,369.0
Jumlah Produksi Sayuran,Labu Siam,Kw,1490.0,2462.0,2138.0,1146.0,1985.0
Jumlah Produksi Sayuran,Kangkung,Kw,12493.0,8739.0,12509.4,3765.0,6459.0
Jumlah Produksi Sayuran,Bayam,Kw,4917.0,6908.0,7277.3,3765.0,7481.0
Nilai Produksi Buah-Buahan,Alpukat,Rp,13046943200.0,22866010354.0,39313769418.75,676727068.0,151012141983.0
Nilai Produksi Buah-Buahan,Mangga,Rp,26000180800.0,40458372136.0,150993507110.0,426668292.0,56520757305.0
