No,Kategori / Indikator,Sub Indikator,Satuan,2020,2021,2022,2023,2024
55,Jumlah Produksi Tanaman Semusim,Tembakau,Ton,221,2.129.65,113.07,1.632.33,2.076.96
56,Jumlah Produksi Tanaman Semusim,Tebu,Ton,418.305.00,309.883.78,28.577.70,302.255.60,337.930.59
57,Nilai Produksi Tanaman Semusim,Tembakau,Rp,10.178.098.000.00,,11.307.400.00,179.557.400.000.00,
58,Nilai Produksi Tanaman Semusim,Tebu,Rp,2.007.864.960.000.00,232.413.000.000.00,17.146.621.00,241.804.481.600.00,
59,Jumlah Ketersediaan Alat Mesin Pertanian,Kabupaten Tulungagung,Unit,79.078.00,69.451.00,,63.394.00,54.563.00
60,Jumlah Ketersediaan Obat Anti Hama,Insektisida Cair,L,2.844.00,1.325.00,0,0,0
61,Jumlah Ketersediaan Obat Anti Hama,Fungisida Cair,L,-,-,1.085.00,550,0
62,Jumlah Ketersediaan Obat Anti Hama,Pestisida Cair,L,-,-,0,0,0
63,Jumlah Ketersediaan Obat Anti Hama,Insektisida Padat,Kg,-,-,1.755.00,650,1.400.00
64,Jumlah Ketersediaan Obat Anti Hama,Fungisida Padat,Kg,2.577.00,850,0,0,0
65,Jumlah Ketersediaan Obat Anti Hama,Pestisida Padat,Kg,-,-,2.119.00,579,0
66,Luas Lahan Sawah Beririgasi,Kabupaten Tulungagung,Ha,24.977.00,23.443.97,24.915.00,24.915.00,24.706.00
67,Luas Lahan Sawah Tadah Hujan,Kabupaten Tulungagung,Ha,2.639.00,2.360.00,2.302.00,2.302.00,2.243.00
68,Luas Lahan Tegal/Kebun,Kabupaten Tulungagung,Ha,36.746.00,28.031.51,29.515.00,29.515.00,30.531.00
69,Luas Lahan Ladang/Huma,Kabupaten Tulungagung,Ha,222,2033.99,212,212,6772
70,Jumlah Produksi Padi,,,,,,,
71,Jumlah Produksi Jagung,Kabupaten Tulungagung,Ton,339.969.54,388.810.36,340.773.49,341.826.84,314.626.26
72,Jumlah Produksi Kedelai,Kabupaten Tulungagung,Ton,120.45,102.68,19.49,705.37,121.49
73,Jumlah Produksi Ubi Jalar,Kabupaten Tulungagung,Ton,462.61,,689.84,447.1,0
74,Nilai Produksi Padi,Kabupaten Tulungagung,Rp,1.426.685.690.832.00,1.729.932.360.142.00,1.698.405.126.570.00,,1.780.805.121.400.00
75,Nilai Produksi Ubi Jalar,Kabupaten Tulungagung,Rp,1.269.401.840.00,3.109.353.793.00,1.873.605.440.00,,0
76,Nilai Produksi Jagung,Kabupaten Tulungagung,Rp,1.347.979.234.030.00,1.886.119.056.360.00,1.596.523.800.650.00,,1.691.506.573.22
77,Jumlah Produksi Sayuran,Bawang Merah,Kw,3.090.00,38.201.00,18.165.00,,20.054.10
